#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,2.12,7.1,10.6
2019,1,1,2.13,7.2,10.6
2019,1,1,1.92,7.3,10.6
2019,1,1,2.15,7.4,10.6
2019,1,1,1.96,7.2,10.6
2019,1,1,1.89,7.1,10.6
2019,1,1,1.89,7.0,10.6
2019,1,1,1.61,6.9,10.6
2019,1,1,1.78,6.8,10.6
2019,1,1,1.7,6.7,10.6
2019,1,1,1.67,6.7,10.6
2019,1,1,1.67,6.9,10.6
2019,1,1,1.73,6.9,10.6
2019,1,1,2.01,6.7,10.5
2019,1,1,2.1,6.6,10.5
2019,1,1,2.11,6.0,10.5
2019,1,1,2.32,6.0,10.5
2019,1,1,1.89,6.3,10.5
2019,1,1,2.05,6.6,10.5
2019,1,1,1.95,6.7,10.6
2019,1,1,2.12,6.9,10.6
2019,1,1,1.72,6.9,10.6
2019,1,1,1.84,7.0,10.6
2019,1,1,1.98,7.0,10.6
2019,1,2,1.81,7.1,10.6
2019,1,2,2.51,7.3,10.6
2019,1,2,2.45,7.3,10.5
2019,1,2,2.0,7.2,10.5
2019,1,2,1.78,6.9,10.5
2019,1,2,2.1,6.6,10.5
2019,1,2,1.86,6.2,10.5
2019,1,2,1.92,6.3,10.5
2019,1,2,2.43,6.5,10.5
2019,1,2,2.19,6.5,10.5
2019,1,2,2.44,6.5,10.5
2019,1,2,2.47,6.5,10.6
2019,1,2,2.67,9.0,10.6
2019,1,2,2.89,9.1,10.6
2019,1,2,3.12,9.4,10.6
2019,1,2,3.42,9.6,10.6
2019,1,3,3.44,9.8,10.6
2019,1,3,3.61,10.0,10.6
2019,1,3,3.76,10.1,10.6
2019,1,3,3.6,10.2,10.6
2019,1,3,3.86,10.3,10.6
2019,1,3,4.02,10.5,10.6
2019,1,3,4.36,10.6,10.6
2019,1,3,4.25,10.7,10.5
2019,1,3,4.34,10.9,10.5
2019,1,3,4.61,11.0,10.5
2019,1,3,4.57,11.2,10.5
2019,1,3,4.89,11.1,10.5
2019,1,3,4.45,11.1,10.5
2019,1,3,4.4,11.1,10.5
2019,1,3,4.21,11.1,10.5
2019,1,3,4.51,11.4,10.5
2019,1,3,4.37,11.7,10.6
2019,1,3,4.4,11.4,10.6
2019,1,3,4.9,11.3,10.6
2019,1,3,4.74,11.2,10.6
2019,1,3,4.98,11.2,10.6
2019,1,3,5.48,11.1,10.7
2019,1,3,5.13,10.9,10.7
2019,1,4,5.43,10.8,10.6
2019,1,4,5.41,10.8,10.6
2019,1,4,5.47,10.8,10.6
2019,1,4,5.94,10.3,10.6
2019,1,4,6.09,9.5,10.6
2019,1,4,6.54,9.9,10.5
2019,1,4,5.09,10.3,10.5
2019,1,4,5.36,10.8,10.5
2019,1,4,4.93,11.1,10.5
2019,1,4,5.06,11.3,10.8
2019,1,4,5.24,11.1,10.8
2019,1,4,5.49,11.0,10.8
2019,1,4,5.28,11.2,10.8
2019,1,4,5.84,11.0,10.8
2019,1,4,6.02,11.0,10.8
2019,1,4,6.75,11.0,10.8
2019,1,4,6.7,11.0,10.8
2019,1,4,6.99,10.9,10.8
2019,1,4,6.57,10.9,10.8
2019,1,4,6.89,10.9,10.9
2019,1,4,6.27,10.8,10.9
2019,1,4,6.05,10.7,10.9
2019,1,4,5.77,10.7,11.0
2019,1,5,5.11,9.1,10.9
2019,1,5,5.46,9.7,10.9
2019,1,5,4.9,10.2,10.9
2019,1,5,4.58,10.2,10.8
2019,1,5,4.6,10.2,10.8
2019,1,5,5.19,9.4,10.8
2019,1,5,4.31,9.2,10.8
2019,1,5,4.27,9.2,10.8
2019,1,5,4.48,9.4,10.8
2019,1,5,4.35,9.5,10.8
2019,1,5,4.12,9.7,10.8
2019,1,5,4.02,10.0,10.8
2019,1,5,3.54,10.0,10.8
2019,1,5,3.59,10.1,10.8
2019,1,5,3.32,10.2,10.8
2019,1,5,2.89,10.2,10.8
2019,1,5,2.98,10.1,10.8
2019,1,5,2.79,10.0,10.8
2019,1,5,2.85,9.7,10.8
2019,1,5,2.89,10.0,10.8
2019,1,5,2.63,9.4,10.8
2019,1,5,2.41,9.0,10.8
2019,1,5,2.53,8.9,10.8
2019,1,5,2.38,9.1,10.8
2019,1,6,2.36,9.0,10.8
2019,1,6,2.45,9.2,10.8
2019,1,6,2.3,9.2,10.8
2019,1,6,2.3,9.4,10.8
2019,1,6,2.24,9.6,10.8
2019,1,6,2.55,9.5,10.8
2019,1,6,2.47,9.3,10.8
2019,1,6,2.65,6.6,10.8
2019,1,6,2.88,7.6,10.7
2019,1,6,3.05,8.3,10.7
2019,1,6,3.12,8.1,10.8
2019,1,6,3.44,8.8,10.8
2019,1,6,3.41,8.1,10.7
2019,1,6,3.25,8.8,10.7
2019,1,6,3.19,8.7,10.7
2019,1,6,3.41,8.7,10.7
2019,1,6,3.48,8.7,10.7
2019,1,6,3.57,7.8,10.7
2019,1,6,3.62,8.4,10.7
2019,1,6,3.36,6.1,10.7
2019,1,6,3.58,5.5,10.7
2019,1,6,3.47,6.4,10.7
2019,1,6,3.04,6.8,10.7
2019,1,6,3.04,6.3,10.7
2019,1,7,2.94,5.7,10.7
2019,1,7,2.53,6.1,10.7
2019,1,7,2.48,6.2,10.6
2019,1,7,2.51,7.5,10.6
2019,1,7,2.47,7.7,10.7
2019,1,7,2.5,6.9,10.7
2019,1,7,2.47,8.0,10.7
2019,1,7,2.67,8.1,10.7
2019,1,7,2.78,8.3,10.7
2019,1,7,2.87,8.5,10.7
2019,1,7,2.97,8.5,10.7
2019,1,7,3.23,8.4,10.7
2019,1,7,3.08,8.3,10.7
2019,1,7,2.98,6.7,10.7
2019,1,7,2.78,8.1,10.6
2019,1,7,2.58,6.7,10.6
2019,1,7,2.37,7.4,10.6
2019,1,7,2.55,8.0,10.6
2019,1,7,2.41,8.2,10.6
2019,1,7,2.32,7.4,10.7
2019,1,7,2.14,7.6,10.7
2019,1,7,2.12,7.6,10.7
2019,1,7,1.92,7.7,10.7
2019,1,7,1.95,7.5,10.7
2019,1,8,1.91,7.5,10.7
2019,1,8,1.93,7.5,10.7
2019,1,8,1.8,7.3,10.7
2019,1,8,1.93,7.0,10.7
2019,1,8,1.91,7.3,10.7
2019,1,8,1.88,7.6,10.6
2019,1,8,1.77,7.5,10.6
2019,1,8,1.69,7.5,10.6
2019,1,8,1.62,7.4,10.6
2019,1,8,1.59,7.6,10.6
2019,1,8,1.56,8.2,10.6
2019,1,8,1.62,8.8,10.6
2019,1,8,1.95,8.3,10.6
2019,1,8,2.01,7.6,10.6
2019,1,8,2.12,8.0,10.6
2019,1,8,2.15,7.7,10.6
2019,1,8,2.37,7.4,10.6
2019,1,8,2.43,7.6,10.6
2019,1,8,2.53,8.0,10.6
2019,1,8,2.71,8.3,10.6
2019,1,8,2.93,8.5,10.6
2019,1,8,2.78,8.6,10.6
2019,1,8,3.26,9.3,10.6
2019,1,8,3.37,9.1,10.6
2019,1,9,3.24,9.9,10.6
2019,1,9,3.24,9.7,10.6
2019,1,9,3.35,9.6,10.6
2019,1,9,3.42,9.7,10.6
2019,1,9,3.53,10.1,10.6
2019,1,9,3.57,10.1,10.6
2019,1,9,4.22,9.9,10.6
2019,1,9,4.39,10.1,10.6
2019,1,9,4.62,9.7,10.6
2019,1,9,5.26,10.0,10.6
2019,1,9,4.86,9.9,10.6
2019,1,9,5.03,10.0,10.6
2019,1,9,5.06,9.9,10.6
2019,1,9,5.52,10.0,10.6
2019,1,9,4.85,10.1,10.6
2019,1,9,4.75,10.3,10.6
2019,1,9,4.27,9.8,10.6
2019,1,9,5.17,9.9,10.6
2019,1,9,5.4,10.0,10.6
2019,1,9,4.88,9.6,10.6
2019,1,9,5.42,9.8,10.6
2019,1,9,4.98,9.8,10.6
2019,1,9,5.36,10.5,10.6
2019,1,9,5.21,11.4,10.6
2019,1,10,5.64,11.3,10.6
2019,1,10,4.7,11.2,10.6
2019,1,10,5.07,11.6,10.6
2019,1,10,4.81,11.5,10.6
2019,1,10,4.51,11.5,10.6
2019,1,10,4.26,11.3,10.6
2019,1,10,4.32,11.2,10.6
2019,1,10,3.88,11.2,10.6
2019,1,10,3.65,11.2,10.7
2019,1,10,3.64,11.0,10.7
2019,1,10,3.28,11.0,10.7
2019,1,10,3.22,10.9,10.7
2019,1,10,3.14,10.8,10.7
2019,1,10,3.24,10.8,10.7
2019,1,10,3.28,11.0,10.7
